ID,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0
2,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1
3,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1
4,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1
5,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1
6,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1
7,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1
8,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1
9,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1
10,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1
11,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1
12,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1
13,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
14,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
15,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1
16,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1
17,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1
18,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0
19,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
